id,name,type
444,Drift and Scaling in Estimation of Distribution Algorithms,paper
445,Human detection using partial least squares analysis,paper
446,On feature selection through clustering,paper
447,Equivalence and synthesis of causal models,paper
448,A Kernel between Sets of Vectors,paper
449,Performance limits of two-phase locking,paper
450,Phrase recognition and expansion for short precision-biased queries based on a query log,paper
451,Wavelet synopses for general error metrics,paper
452,Mining mutually dependent patterns,paper
453,Query flocks: a generalization of association-rule mining,paper
454,Distance measures for effective clustering of ARIMA time-series,paper
455,Rigorous Hitting Times for Binary Mutations,paper
456,Scaling Up: Distributed Machine Learning with Cooperation,paper
457,Style translation for human motion,paper
458,The space of human body shapes: reconstruction and parameterization from range scans,paper
459,A nonparametric hierarchical bayesian framework for information filtering,paper
460,Finding failures by cluster analysis of execution profiles,paper
461,Multiple Non-Redundant Spectral Clustering Views,paper
462,Navigation as multiscale pointing: extending Fitts' model to very high precision tasks,paper
463,Cost-sensitive learning by cost-proportionate example weighting,paper
464,When Does Non-Negative Matrix Factorization Give a Correct Decomposition into Parts?,paper
465,X-means: Extending K-means with Efficient Estimation of the Number of Clusters,paper
466,Improved fast gauss transform and efficient kernel density estimation,paper
467,Finding the k shortest paths,paper
468,Fast nearest neighbor retrieval for bregman divergences,paper
469,A decision network framework for the behavioral animation of virtual humans,paper
470,Feature Selection in Mixture-Based Clustering,paper
471,The 2.1-D sketch,paper
472,The role of contextual haptic and visual constraints on object manipulation in virtual environments,paper
473,Using Color Compatibility for Assessing Image Realism,paper
474,Asymmetric distance estimation with sketches for similarity search in high-dimensional spaces,paper
475,What would other programmers do: suggesting solutions to error messages,paper
476,Improved combinatorial algorithms for the facility location and k-median problems,paper
477,Learning low-rank kernel matrices,paper
478,Reinforcement Learning with a Hierarchy of Abstract Models,paper
479,Characterizing browsing strategies in the World-Wide Web,paper
480,Surface Learning with Applications to Lipreading,paper
481,Classification of Electroencephalogram using Artificial Neural Networks,paper
482,Matchin: eliciting user preferences with an online game,paper
483,Turbo-charging vertical mining of large databases,paper
484,Model-based evaluation of cell phone menu interaction,paper
485,Distance Oracles for Spatial Networks,paper
486,Approximate inference and protein folding,paper
487,Many-worlds browsing for control of multibody dynamics,paper
488,Stochastic Hillclimbing as a Baseline Method for Evaluating Genetic Algorithms,paper
489,Indexing spatio-temporal trajectories with Chebyshev polynomials,paper
490,Uci repository of machine learning databases,paper
491,A probabilistic approach to spatiotemporal theme pattern mining on weblogs,paper
492,Genetic programming and AI planning systems,paper
493,Landmarks: a new model for similarity-based pattern querying in time series databases,paper
494,K * : An Instance-based Learner Using an Entropic Distance Measure,paper
495,Efficient Mining of Frequent and Distinctive Feature Configurations,paper
496,Classifier fitness based on accuracy,paper
497,The pyramid match kernel: discriminative classification with sets of image features,paper
498,Quadratic dynamical systems,paper
499,CORDS: automatic discovery of correlations and soft functional dependencies,paper
500,Modularity in the motor system: decomposition of muscle patterns as combinations of time-varying synergies,paper
501,Multi-Task Learning via Conic Programming,paper
502,A performance model of system delay and user strategy selection,paper
503,Reinforcement Learning for Dynamic Channel Allocation in Cellular Telephone Systems,paper
504,Mining quantitative association rules in large relational tables,paper
505,A Neural Network Model for Prognostic Prediction,paper
506,Using Sampling and Queries to Extract Rules from Trained Neural Networks,paper
507,SNIAFL: towards a static non-interactive approach to feature location,paper
508,On-line selection of discriminative tracking features,paper
509,Clustering graphs by weighted substructure mining,paper
510,Recognition with local features: the kernel recipe,paper
511,AdWords and generalized on-line matching,paper
512,Decentralised Coordination of Mobile Sensors Using the Max-Sum Algorithm,paper
513,The science of breeding and its application to the breeder genetic algorithm (bga),paper
514,An experimental study of individual subjective effort estimations and combinations of the estimates,paper
515,Fast Matching of Planar Shapes in Sub-cubic Runtime,paper
516,Efficient kernel machines using the improved fast Gauss transform,paper
517,A hybrid generative/discriminative approach to semi-supervised classifier design,paper
518,Privacy-preserving logistic regression,paper
519,Constructing informative priors using transfer learning,paper
520,Bayesian reasoning in an abductive mechanism for argument generation and analysis,paper
521,Reliefs as images,paper
522,An online POMDP algorithm for complex multiagent environments,paper
523,Boosting products of base classifiers,paper
524,CWS: a comparative web search system,paper
525,Dynamic protocols for open agent systems,paper
526,Learning forward models for robots,paper
527,Reinforcement learning by reward-weighted regression for operational space control,paper
528,Semi-automatic stereo extraction from video footage,paper
529,Unsupervised Variational Bayesian Learning of Nonlinear Models,paper
530,Distributional similarity models: clustering vs . nearest neighbors,paper
531,Planning in the Presence of Cost Functions Controlled by an Adversary,paper
532,Searching for diverse cooperative populations with genetic algorithms,paper
533,ARGOS: a display system for augmenting reality,paper
534,Scaling link-based similarity search,paper
535,Exploiting the Cost (In)sensitivity of Decision Tree Splitting Criteria,paper
536,A comparison of coordinated planning methods for cooperating rovers,paper
537,Domain adaptation from multiple sources via auxiliary classifiers,paper
538,Memory-efficient inference in relational domains,paper
539,Simpler knowledge-based support vector machines,paper
