source,relation_type,target,source_name,target_name
38,paper_cite_paper,4757,Deep learning via semi-supervised embedding,Beyond the point cloud: from transductive to semi-supervised learning
38,paper_cite_paper,3210,Deep learning via semi-supervised embedding,Greedy Layer-Wise Training of Deep Networks
38,paper_cite_paper,1731,Deep learning via semi-supervised embedding,Cluster Kernels for Semi-Supervised Learning
38,paper_cite_paper,3549,Deep learning via semi-supervised embedding,Deep learning from temporal coherence in video
39,paper_cite_paper,76,Question classification using HDAG kernel,Convolution Kernels for Natural Language
39,paper_cite_paper,723,Question classification using HDAG kernel,Feature selection in SVM text categorization
39,paper_cite_paper,1159,Question classification using HDAG kernel,Hierarchical directed acyclic graph kernel: methods for structured natural language data
40,paper_cite_paper,4429,A mathematical model of the finding of usability problems,The precis of Project Ernestine or an overview of a validation of GOMS
41,paper_cite_paper,393,Feature Selection for High-Dimensional Data: A Fast Correlation-Based Filter Solution,The feature selection problem: traditional methods and a new algorithm
41,paper_cite_paper,3651,Feature Selection for High-Dimensional Data: A Fast Correlation-Based Filter Solution,Correlation-based Feature Selection for Discrete and Numeric Class Machine Learning
41,paper_cite_paper,1286,Feature Selection for High-Dimensional Data: A Fast Correlation-Based Filter Solution,A Comparative Study on Feature Selection in Text Categorization
41,paper_cite_paper,3599,Feature Selection for High-Dimensional Data: A Fast Correlation-Based Filter Solution,Feature selection for high-dimensional genomic microarray data
41,paper_cite_paper,278,Feature Selection for High-Dimensional Data: A Fast Correlation-Based Filter Solution,On Feature Selection: Learning with Exponentially Many Irrelevant Features as Training Examples
41,paper_cite_paper,4885,Feature Selection for High-Dimensional Data: A Fast Correlation-Based Filter Solution,Filters Wrappers and a Boosting-Based Hybrid for Feature Selection
42,paper_cite_paper,850,Graphcut textures: image and video synthesis using graph cuts,Intelligent scissors for image composition
44,paper_cite_paper,4826,The crowding approach to niching in genetic algorithms,The gambler's ruin problem genetic algorithms and the sizing of populations
44,paper_cite_paper,3201,The crowding approach to niching in genetic algorithms,Noise strategies for improving local search
44,paper_cite_paper,2268,The crowding approach to niching in genetic algorithms,Multimodal function optimization using minimal representation size clustering and its application to planning multipaths
46,paper_cite_paper,3654,Off-Policy Temporal Difference Learning with Function Approximation,Residual Algorithms: Reinforcement Learning with Function Approximation
46,paper_cite_paper,811,Off-Policy Temporal Difference Learning with Function Approximation,Stable Function Approximation in Dynamic Programming
46,paper_cite_paper,3097,Off-Policy Temporal Difference Learning with Function Approximation,Eligibility Traces for Off-Policy Policy Evaluation
46,paper_cite_paper,3814,Off-Policy Temporal Difference Learning with Function Approximation,Reinforcement learning with hierarchies of machines
47,paper_cite_paper,418,A machine learning approach to the automatic evaluation of machine translation,A Bayesian approach to learning Bayesian networks with local structure
47,paper_cite_paper,1977,A machine learning approach to the automatic evaluation of machine translation,Large Margin DAGs for Multiclass Classification
48,paper_cite_paper,2934,High-Dimensional Graphical Model Selection Using $\ell_1$-Regularized Logistic Regression,Feature selection L 1 vs. L 2 regularization and rotational invariance
50,paper_cite_paper,856,Convex Learning with Invariances,Max-margin Markov networks
51,paper_cite_paper,74,Mining framework usage changes from instantiation code,Data mining library reuse patterns using generalized association rules
51,paper_cite_paper,2617,Mining framework usage changes from instantiation code,Mining association rules between sets of items in large databases
51,paper_cite_paper,2209,Mining framework usage changes from instantiation code,Recommending adaptive changes for framework evolution
52,paper_cite_paper,1779,Learning a Distance Metric from Relative Comparisons,Learning to extract symbolic knowledge from the World Wide Web
52,paper_cite_paper,849,Learning a Distance Metric from Relative Comparisons,Constrained K-means Clustering with Background Knowledge
52,paper_cite_paper,1825,Learning a Distance Metric from Relative Comparisons,Distance Metric Learning with Application to Clustering with Side-Information
53,paper_cite_paper,2257,Surface light fields for 3D photography,View-dependent simplification of arbitrary polygonal environments
53,paper_cite_paper,609,Surface light fields for 3D photography,Light field rendering
53,paper_cite_paper,306,Surface light fields for 3D photography,A volumetric method for building complex models from range images
53,paper_cite_paper,2490,Surface light fields for 3D photography,Appearance-preserving simplification
54,paper_cite_paper,2121,Efficient generation of motion transitions using spacetime constraints,Motion signal processing
54,paper_cite_paper,71,Efficient generation of motion transitions using spacetime constraints,Interactive spacetime control for animation
55,paper_cite_paper,2350,Real-time smoke rendering using compensated ray marching,All-frequency precomputed radiance transfer using spherical radial basis functions and clustered tensor approximation
56,paper_cite_paper,277,Real-time automatic tag recommendation,Empirical analysis of predictive algorithms for collaborative filtering
56,paper_cite_paper,4316,Real-time automatic tag recommendation,A min-max cut algorithm for graph partitioning and data clustering
57,paper_cite_paper,2566,An improved dynamic programming algorithm for coalition structure generation,Overlapping coalition formation for efficient data fusion in multi-sensor networks
57,paper_cite_paper,178,An improved dynamic programming algorithm for coalition structure generation,Anytime optimal coalition structure generation
58,paper_cite_paper,447,An algorithm for deciding if a set of observed independencies has a causal explanation,Equivalence and synthesis of causal models
59,paper_cite_paper,4441,A predictive model of menu performance,Beyond Fitts' law: models for trajectory-based HCI tasks
59,paper_cite_paper,90,A predictive model of menu performance,Eye tracking the visual search of click-down menus
59,paper_cite_paper,4146,A predictive model of menu performance,Cognitive modeling reveals menu search in both random and systematic
60,paper_cite_paper,4269,Covariant Policy Search,Policy Gradient Methods for Reinforcement Learning with Function Approximation
60,paper_cite_paper,3238,Covariant Policy Search,A Natural Policy Gradient
61,paper_cite_paper,2003,What's up CAPTCHA?: a CAPTCHA based on image orientation,Using machine learning to break visual human interaction proofs (HIPs
61,paper_cite_paper,28,What's up CAPTCHA?: a CAPTCHA based on image orientation,Experiments with a new boosting algorithm
63,paper_cite_paper,1990,Detecting irregularities in images and in video,Video Google: a text retrieval approach to object matching in videos
63,paper_cite_paper,2856,Detecting irregularities in images and in video,Recognition of multi-agent interaction in video surveillance
64,paper_cite_paper,115,Mean shift based clustering in high dimensions: a texture classification example,The variable bandwidth mean shift and data-driven scale selection
64,paper_cite_paper,3977,Mean shift based clustering in high dimensions: a texture classification example,Fast pose estimation with parameter-sensitive hashing
64,paper_cite_paper,4966,Mean shift based clustering in high dimensions: a texture classification example,A sublinear time approximation scheme for clustering in metric spaces
66,paper_cite_paper,3690,3D Variational Brain Tumor Segmentation using a High Dimensional Feature Set,Segmenting brain tumors with conditional random fields and support vector machines
68,paper_cite_paper,3843,Red Opal: product-feature scoring from reviews,Mining the peanut gallery: opinion extraction and semantic classification of product reviews
69,paper_cite_paper,3627,One-Class Collaborative Filtering,Exploratory Under-Sampling for Class-Imbalance Learning
69,paper_cite_paper,895,One-Class Collaborative Filtering,Google news personalization: scalable online collaborative filtering
69,paper_cite_paper,2512,One-Class Collaborative Filtering,Building text classifiers using positive and unlabeled examples
69,paper_cite_paper,3128,One-Class Collaborative Filtering,Learning with Positive and Unlabeled Examples Using Weighted Logistic Regression
69,paper_cite_paper,1056,One-Class Collaborative Filtering,Weighted Low-Rank Approximations
69,paper_cite_paper,277,One-Class Collaborative Filtering,Empirical analysis of predictive algorithms for collaborative filtering
69,paper_cite_paper,2970,One-Class Collaborative Filtering,Restricted Boltzmann machines for collaborative filtering
70,paper_cite_paper,4996,Motion synthesis from annotations,Composable controllers for physics-based character animation
70,paper_cite_paper,4671,Motion synthesis from annotations,Retargetting motion to new characters
70,paper_cite_paper,54,Motion synthesis from annotations,Efficient generation of motion transitions using spacetime constraints
70,paper_cite_paper,1298,Motion synthesis from annotations,Automated learning of muscle-actuated locomotion through control abstraction
70,paper_cite_paper,2121,Motion synthesis from annotations,Motion signal processing
72,paper_cite_paper,1676,Assessing modular structure of legacy code based on mathematical concept analysis,An intelligent tool for re-engineering software modularity
72,paper_cite_paper,4367,Assessing modular structure of legacy code based on mathematical concept analysis,On the inference of configuration structures from source code
73,paper_cite_paper,1255,Exact inference in networks with discrete children of continuous parents,Inference in Hybrid Networks: Theoretical Limits and Practical Algorithms
73,paper_cite_paper,3991,Exact inference in networks with discrete children of continuous parents,Simulation Approaches to General Probabilistic Inference on Belief Networks
73,paper_cite_paper,2206,Exact inference in networks with discrete children of continuous parents,Bayesian Fault Detection and Diagnosis in Dynamic Systems
75,paper_cite_paper,1731,Non-Local Manifold Tangent Learning,Cluster Kernels for Semi-Supervised Learning
75,paper_cite_paper,3761,Non-Local Manifold Tangent Learning,Charting a Manifold
75,paper_cite_paper,1705,Non-Local Manifold Tangent Learning,Semi-supervised learning using Gaussian fields and harmonic functions
75,paper_cite_paper,2891,Non-Local Manifold Tangent Learning,Learning Lie groups for invariant visual perception
78,paper_cite_paper,2301,A DC-programming algorithm for kernel selection,Multiple kernel learning conic duality and the SMO algorithm
78,paper_cite_paper,1193,A DC-programming algorithm for kernel selection,Learning convex combinations of continuously parameterized basic kernels
80,paper_cite_paper,4725,Automatic discovery and transfer of MAXQ hierarchies,Finding Structure in Reinforcement Learning
80,paper_cite_paper,4136,Automatic discovery and transfer of MAXQ hierarchies,PolicyBlocks: An Algorithm for Creating Useful Macro-Actions in Reinforcement Learning
80,paper_cite_paper,3467,Automatic discovery and transfer of MAXQ hierarchies,Using relative novelty to identify useful temporal abstractions in reinforcement learning
80,paper_cite_paper,1391,Automatic discovery and transfer of MAXQ hierarchies,State abstraction for programmable reinforcement learning agents
80,paper_cite_paper,1495,Automatic discovery and transfer of MAXQ hierarchies,Discovering Hierarchy in Reinforcement Learning with HEXQ
80,paper_cite_paper,1451,Automatic discovery and transfer of MAXQ hierarchies,Automatic Discovery of Subgoals in Reinforcement Learning using Diverse Density
82,paper_cite_paper,3130,Compiled Query Execution Engine using JVM,Block oriented processing of relational database operations in modern computer architectures
85,paper_cite_paper,2474,Learning non-isomorphic tree mappings for machine translation,A syntax-based statistical translation model
85,paper_cite_paper,2246,Learning non-isomorphic tree mappings for machine translation,Statistics-Based Summarization - Step One: Sentence Compression
86,paper_cite_paper,1378,Global Ranking Using Continuous Conditional Random Fields,Learning to rank relational objects and its application to web search
86,paper_cite_paper,1437,Global Ranking Using Continuous Conditional Random Fields,Learning with Local and Global Consistency
86,paper_cite_paper,228,Global Ranking Using Continuous Conditional Random Fields,Regularized estimation of mixture models for robust pseudo-relevance feedback
86,paper_cite_paper,158,Global Ranking Using Continuous Conditional Random Fields,LETOR: Benchmark Dataset for Research on Learning to Rank for Information Retrieval
86,paper_cite_paper,4941,Global Ranking Using Continuous Conditional Random Fields,Learning to rank: from pairwise approach to listwise approach
87,paper_cite_paper,3729,Segmenting foreground objects from a dynamic textured background via a robust Kalman filter,Robust principal component analysis for computer vision
87,paper_cite_paper,1354,Segmenting foreground objects from a dynamic textured background via a robust Kalman filter,Finding periodicity in space and time
88,paper_cite_paper,1286,On feature distributional clustering for text categorization,A Comparative Study on Feature Selection in Text Categorization
88,paper_cite_paper,1931,On feature distributional clustering for text categorization,Distributional clustering of English words
88,paper_cite_paper,3823,On feature distributional clustering for text categorization,A Probabilistic Analysis of the Rocchio Algorithm with TFIDF for Text Categorization
88,paper_cite_paper,4151,On feature distributional clustering for text categorization,Distributional clustering of words for text classification
88,paper_cite_paper,1689,On feature distributional clustering for text categorization,Hierarchically Classifying Documents Using Very Few Words
90,paper_cite_paper,4146,Eye tracking the visual search of click-down menus,Cognitive modeling reveals menu search in both random and systematic
91,paper_cite_paper,1577,Measure Based Regularization,On Spectral Clustering: Analysis and an algorithm
91,paper_cite_paper,1190,Measure Based Regularization,Information Regularization with Partially Labeled Data
94,paper_cite_paper,211,Relational learning for NLP using linear threshold elements,Part of Speech Tagging Using a Network of Linear Separators
96,paper_cite_paper,2695,SQLEM: fast clustering in SQL using the EM algorithm,Fast algorithms for projected clustering
96,paper_cite_paper,1146,SQLEM: fast clustering in SQL using the EM algorithm,BIRCH: an efficient data clustering method for very large databases
96,paper_cite_paper,320,SQLEM: fast clustering in SQL using the EM algorithm,Automatic subspace clustering of high dimensional data for data mining applications
98,paper_cite_paper,425,Describing visual scenes using transformed dirichlet processes,Discovering object categories in image collections
98,paper_cite_paper,763,Describing visual scenes using transformed dirichlet processes,Image parsing: unifying segmentation detection and recognition
98,paper_cite_paper,4179,Describing visual scenes using transformed dirichlet processes,A Bayesian approach to unsupervised one-shot learning of object categories
98,paper_cite_paper,1376,Describing visual scenes using transformed dirichlet processes,Discovering objects and their location in images
98,paper_cite_paper,3209,Describing visual scenes using transformed dirichlet processes,Learning hierarchical models of scenes objects and parts
104,paper_cite_paper,3390,Learning multiple graphs for document recommendations,Unifying user-based and item-based collaborative filtering approaches by similarity fusion
104,paper_cite_paper,1094,Learning multiple graphs for document recommendations,Propagation of trust and distrust
104,paper_cite_paper,2717,Learning multiple graphs for document recommendations,Item-based collaborative filtering recommendation algorithms
104,paper_cite_paper,945,Learning multiple graphs for document recommendations,Spectral Relaxation for K-means Clustering
104,paper_cite_paper,4707,Learning multiple graphs for document recommendations,The Missing Link - A Probabilistic Model of Document Content and Hypertext Connectivity
104,paper_cite_paper,1719,Learning multiple graphs for document recommendations,Spectral clustering and transductive learning with multiple views
104,paper_cite_paper,2292,Learning multiple graphs for document recommendations,Combining content and link for classification using matrix factorization
104,paper_cite_paper,3697,Learning multiple graphs for document recommendations,Learning from labeled and unlabeled data on a directed graph
104,paper_cite_paper,1218,Learning multiple graphs for document recommendations,Probabilistic models for discovering e-communities
107,paper_cite_paper,2450,Approximate Planning in Large POMDPs via Reusable Trajectories,Tractable inference for complex stochastic processes
107,paper_cite_paper,904,Approximate Planning in Large POMDPs via Reusable Trajectories,Gradient descent for general reinforcement learning
107,paper_cite_paper,2863,Approximate Planning in Large POMDPs via Reusable Trajectories,Computing factored value functions for policies in structured MDPs
108,paper_cite_paper,4940,Towards effective indexing for very large video sequence database,On the complexity of probabilistic image retrieval
108,paper_cite_paper,3266,Towards effective indexing for very large video sequence database,An adaptive and efficient dimensionality reduction algorithm for high-dimensional indexing
108,paper_cite_paper,3393,Towards effective indexing for very large video sequence database,The pyramid-technique: towards breaking the curse of dimensionality
109,paper_cite_paper,3500,On Spectral Learning of Mixtures of Distributions,Learning mixtures of Gaussians
110,paper_cite_paper,79,Learning noisy perceptrons by a perceptron in polynomial time,A polynomial-time algorithm for learning noisy linear threshold functions
111,paper_cite_paper,666,A Pheromone-Based Utility Model for Collaborative Foraging,Evolving adaptive pheromone path planning mechanisms
112,paper_cite_paper,2341,Non-isomorphic 3D rotational techniques,The influence of muscle groups on performance of multiple degree-of-freedom input
114,paper_cite_paper,1739,Learning Deep Boltzmann Machines using Adaptive MCMC,Using fast weights to improve persistent contrastive divergence
114,paper_cite_paper,3375,Learning Deep Boltzmann Machines using Adaptive MCMC,Implicit Mixtures of Restricted Boltzmann Machines
118,paper_cite_paper,1618,Mixture Regression for Covariate Shift,Learning and evaluating classifiers under sample selection bias
119,paper_cite_paper,3656,On the relation between multi-instance learning and semi-supervised learning,Semi-supervised Learning on Directed Graphs
119,paper_cite_paper,4804,On the relation between multi-instance learning and semi-supervised learning,Supervised versus multiple instance learning: an empirical comparison
119,paper_cite_paper,370,On the relation between multi-instance learning and semi-supervised learning,Trading convexity for scalability
119,paper_cite_paper,2403,On the relation between multi-instance learning and semi-supervised learning,Enhancing Supervised Learning with Unlabeled Data
119,paper_cite_paper,2044,On the relation between multi-instance learning and semi-supervised learning,Unsupervised and semi-supervised multi-class support vector machines
119,paper_cite_paper,2894,On the relation between multi-instance learning and semi-supervised learning,Transductive Inference for Text Classification using Support Vector Machines
119,paper_cite_paper,3714,On the relation between multi-instance learning and semi-supervised learning,Support Vector Machines for Multiple-Instance Learning
119,paper_cite_paper,1714,On the relation between multi-instance learning and semi-supervised learning,A regularization framework for multiple-instance learning
119,paper_cite_paper,1395,On the relation between multi-instance learning and semi-supervised learning,Multiple-Instance Learning for Natural Scene Classification
119,paper_cite_paper,2359,On the relation between multi-instance learning and semi-supervised learning,Multiple Instance Regression
119,paper_cite_paper,229,On the relation between multi-instance learning and semi-supervised learning,MISSL: multiple-instance semi-supervised learning
119,paper_cite_paper,1912,On the relation between multi-instance learning and semi-supervised learning,Branch and Bound for Semi-Supervised Support Vector Machines
119,paper_cite_paper,885,On the relation between multi-instance learning and semi-supervised learning,Regularization and Semi-supervised Learning on Large Graphs
119,paper_cite_paper,3858,On the relation between multi-instance learning and semi-supervised learning,Semi-supervised support vector machines
119,paper_cite_paper,4873,On the relation between multi-instance learning and semi-supervised learning,Multiple Instance Boosting for Object Detection
119,paper_cite_paper,490,On the relation between multi-instance learning and semi-supervised learning,Uci repository of machine learning databases
119,paper_cite_paper,2404,On the relation between multi-instance learning and semi-supervised learning,A framework for multiple-instance learning
119,paper_cite_paper,4478,On the relation between multi-instance learning and semi-supervised learning,Multiple-Instance Learning of Real-Valued Data
120,paper_cite_paper,3551,How Good are Local Features for Classes of Geometric Objects,Evaluation of features detectors and descriptors based on 3D objects
120,paper_cite_paper,3512,How Good are Local Features for Classes of Geometric Objects,Local features for object class recognition
121,paper_cite_paper,2814,State-space planning by integer optimization,On the use of integer programming models in AI planning
121,paper_cite_paper,3201,State-space planning by integer optimization,Noise strategies for improving local search
122,paper_cite_paper,4362,Collaborative Filtering for Implicit Feedback Datasets,Probabilistic Matrix Factorization
122,paper_cite_paper,2970,Collaborative Filtering for Implicit Feedback Datasets,Restricted Boltzmann machines for collaborative filtering
122,paper_cite_paper,2293,Collaborative Filtering for Implicit Feedback Datasets,Scalable Collaborative Filtering with Jointly Derived Neighborhood Interpolation Weights
122,paper_cite_paper,2870,Collaborative Filtering for Implicit Feedback Datasets,An algorithmic framework for performing collaborative filtering
122,paper_cite_paper,2717,Collaborative Filtering for Implicit Feedback Datasets,Item-based collaborative filtering recommendation algorithms
123,paper_cite_paper,2278,Shape guided contour grouping with particle filters,Learning to Find Object Boundaries Using Motion Cues
123,paper_cite_paper,4868,Shape guided contour grouping with particle filters,Contour-based learning for object detection
123,paper_cite_paper,2783,Shape guided contour grouping with particle filters,Untangling Cycles for Contour Grouping
123,paper_cite_paper,280,Shape guided contour grouping with particle filters,A database of human segmented natural images and its application to evaluating segmentation algorithms and measuring ecological statistics
124,paper_cite_paper,3755,A machine learning approach to building domain-specific search engines,Improving Text Classification by Shrinkage in a Hierarchy of Classes
124,paper_cite_paper,1779,A machine learning approach to building domain-specific search engines,Learning to extract symbolic knowledge from the World Wide Web
124,paper_cite_paper,877,A machine learning approach to building domain-specific search engines,A Web-based information system that reasons with structured collections of text
124,paper_cite_paper,2997,A machine learning approach to building domain-specific search engines,Using Reinforcement Learning to Spider the Web Efficiently
125,paper_cite_paper,3035,Modeling score distributions for combining the outputs of search engines,Some simple effective approximations to the 2-Poisson model for probabilistic weighted retrieval
125,paper_cite_paper,4381,Modeling score distributions for combining the outputs of search engines,Learning collection fusion strategies
125,paper_cite_paper,2498,Modeling score distributions for combining the outputs of search engines,Predicting the performance of linearly combined IR systems
128,paper_cite_paper,4684,Discriminative training of a neural network statistical parser,On Discriminative vs. Generative Classifiers: A comparison of logistic regression and naive Bayes
131,paper_cite_paper,1482,Fast solvers and efficient implementations for distance metric learning,Neighbourhood Components Analysis
131,paper_cite_paper,1825,Fast solvers and efficient implementations for distance metric learning,Distance Metric Learning with Application to Clustering with Side-Information
131,paper_cite_paper,2860,Fast solvers and efficient implementations for distance metric learning,Information-theoretic metric learning
131,paper_cite_paper,1456,Fast solvers and efficient implementations for distance metric learning,Learning Globally-Consistent Local Distance Functions for Shape-Based Image Retrieval and Classification
132,paper_cite_paper,703,Responsiveness in instant messaging: predictive models supporting inter-personal communication,Coordinate: probabilistic forecasting of presence and availability
132,paper_cite_paper,4115,Responsiveness in instant messaging: predictive models supporting inter-personal communication,Predicting human interruptibility with sensors: a Wizard of Oz feasibility study
132,paper_cite_paper,3228,Responsiveness in instant messaging: predictive models supporting inter-personal communication,Examining task engagement in sensor-based statistical models of human interruptibility
132,paper_cite_paper,28,Responsiveness in instant messaging: predictive models supporting inter-personal communication,Experiments with a new boosting algorithm
132,paper_cite_paper,3251,Responsiveness in instant messaging: predictive models supporting inter-personal communication,Examining the robustness of sensor-based statistical models of human interruptibility
136,paper_cite_paper,3714,Weakly supervised discriminative localization and classification: a joint learning process,Support Vector Machines for Multiple-Instance Learning
136,paper_cite_paper,1990,Weakly supervised discriminative localization and classification: a joint learning process,Video Google: a text retrieval approach to object matching in videos
136,paper_cite_paper,1784,Weakly supervised discriminative localization and classification: a joint learning process,Space-time interest points
136,paper_cite_paper,1395,Weakly supervised discriminative localization and classification: a joint learning process,Multiple-Instance Learning for Natural Scene Classification
136,paper_cite_paper,647,Weakly supervised discriminative localization and classification: a joint learning process,Image database retrieval with multiple-instance learning techniques
137,paper_cite_paper,1268,Automated discovery of local search heuristics for satisfiability testing,Evolutionary algorithms for the satisfiability problem
137,paper_cite_paper,733,Automated discovery of local search heuristics for satisfiability testing,Fitness Landscapes Memetic Algorithms and Greedy Operators for Graph Bipartitioning
137,paper_cite_paper,1878,Automated discovery of local search heuristics for satisfiability testing,Strongly typed genetic programming
137,paper_cite_paper,1364,Automated discovery of local search heuristics for satisfiability testing,GASAT: a genetic local search algorithm for the satisfiability problem
137,paper_cite_paper,1013,Automated discovery of local search heuristics for satisfiability testing,Automated discovery of composite SAT variable-selection heuristics
137,paper_cite_paper,3201,Automated discovery of local search heuristics for satisfiability testing,Noise strategies for improving local search
138,paper_cite_paper,884,Steerable Random Fields,Scale Mixtures of Gaussians and the Statistics of Natural Images
138,paper_cite_paper,856,Steerable Random Fields,Max-margin Markov networks
138,paper_cite_paper,1985,Steerable Random Fields,Conditional Random Fields: Probabilistic Models for Segmenting and Labeling Sequence Data
138,paper_cite_paper,4874,Steerable Random Fields,Learning how to inpaint from global image statistics
